Local time,Ask,Bid,AskVolume,BidVolume
22.01.2024 08:30:34.822 GMT-0600,192.33400000000003,192.316,0.012,0.012
22.01.2024 08:30:35.022 GMT-0600,192.333,192.30700000000002,0.012,0.012
22.01.2024 08:30:35.173 GMT-0600,192.33400000000003,192.316,0.012,0.012
22.01.2024 08:30:35.323 GMT-0600,192.323,192.30700000000002,0.012,0.012
22.01.2024 08:30:35.374 GMT-0600,192.354,192.316,0.012,0.012
22.01.2024 08:30:35.854 GMT-0600,192.354,192.30599999999998,0.012,0.012
22.01.2024 08:30:36.157 GMT-0600,192.343,192.30700000000002,0.012,0.012
22.01.2024 08:30:36.309 GMT-0600,192.333,192.30700000000002,0.012,0.012
22.01.2024 08:30:36.459 GMT-0600,192.34400000000002,192.30599999999998,0.012,0.012
22.01.2024 08:30:36.610 GMT-0600,192.343,192.317,0.012,0.012
22.01.2024 08:30:36.661 GMT-0600,192.363,192.327,0.012,0.012
22.01.2024 08:30:36.712 GMT-0600,192.354,192.326,0.012,0.012
22.01.2024 08:30:36.813 GMT-0600,192.333,192.30700000000002,0.012,0.012
22.01.2024 08:30:36.863 GMT-0600,192.343,192.30700000000002,0.012,0.012
22.01.2024 08:30:36.913 GMT-0600,192.353,192.317,0.012,0.012
22.01.2024 08:30:37.014 GMT-0600,192.343,192.30700000000002,0.012,0.012
22.01.2024 08:30:37.115 GMT-0600,192.324,192.296,0.012,0.012
22.01.2024 08:30:37.165 GMT-0600,192.33400000000003,192.296,0.012,0.012
22.01.2024 08:30:37.218 GMT-0600,192.363,192.327,0.012,0.012
22.01.2024 08:30:37.369 GMT-0600,192.38400000000001,192.346,0.012,0.012
22.01.2024 08:30:37.470 GMT-0600,192.40400000000002,192.36599999999999,0.012,0.012
22.01.2024 08:30:37.520 GMT-0600,192.413,192.36700000000002,0.012,0.012
22.01.2024 08:30:37.771 GMT-0600,192.424,192.386,0.012,0.012
22.01.2024 08:30:37.821 GMT-0600,192.433,192.387,0.012,0.012
22.01.2024 08:30:37.872 GMT-0600,192.413,192.387,0.012,0.012
22.01.2024 08:30:37.923 GMT-0600,192.413,192.36700000000002,0.012,0.012
22.01.2024 08:30:37.973 GMT-0600,192.413,192.387,0.012,0.012
22.01.2024 08:30:38.073 GMT-0600,192.40400000000002,192.386,0.012,0.012
22.01.2024 08:30:38.124 GMT-0600,192.394,192.36599999999999,0.012,0.012
